,Unnamed: 0,cty_name,iso3numeric,id,year,eiacty,oil_prod32_14,oil_price_2000,oil_value_nom,oil_value_2000,oil_value_2014,gas_prod55_14,gas_price_2000_mboe,gas_price_2000,gas_price_nom,gas_value_nom,gas_value_2000,gas_value_2014,oil_gas_value_nom,oil_gas_value_2000,oil_gas_value_2014,oil_gas_valuePOP_nom,oil_gas_valuePOP_2000,oil_gas_valuePOP_2014,oil_exports,net_oil_exports,net_oil_exports_mt,net_oil_exports_value,net_oil_exports_valuePOP,gas_exports,net_gas_exports_bcf,net_gas_exports_mboe,net_gas_exports_value,net_gas_exports_valuePOP,net_oil_gas_exports_valuePOP,population,pop_maddison,sovereign,mult_nom_2000,mult_nom_2014,mult_2000_2014,oil_price_nom
18,19,Yemen Arab Rep. (North Yemen),886,,1968,,0.0,8.797903,0.0,0.0,0.0,,14955265.64,2.76243038,0.16,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,6859408.0,6859408.0,1,4.947306,6.80142528,1.374773519,
19,20,Costa Rica,188,CRI,1960,Costa Rica,0.0,10.91287,0.0,0.0,0.0,0.0,15656296.57,2.891919831,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1248022.0,1248022.0,1,5.808306,7.98510528,1.374773519,
20,21,South Africa,710,ZAF,1937,South Africa,,13.9813,,,,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,,1,11.986842,16.47919296,1.374773519,
21,22,German Democratic Republic (East Germany),278,DDR,1948,,,14.06798,,,,,0.0,,0.07,,,,,,,,,,,,,,,,,,,,,19066000.0,,0,7.148022,9.82691136,1.374773519,
22,23,Vietnam,704,VNM,1997,Vietnam,10100000.0,20.3782,1413481530.0,1516520371.0,2084872047.0,1.327257785,12932015.08,2.388709916,2.32,15997914.57,17164117.68,23596774.47,1429479445.0,1533684489.0,2108468822.0,18.89947477,20.27719349,27.87654865,188.9,188.9,9407220.0,1405046323.0,18.57643887,0.0,0.0,0.0,0.0,0.0,18.57643887,75635935.0,76048996.0,1,1.072897196,1.474990654,1.374773519,
23,24,Ireland,372,IRL,1961,Ireland,0.0,10.23677,0.0,0.0,0.0,1.99990644,16357321.79,3.021408228,0.15,5687773.094,32713113.2,44973121.75,5687773.094,32713113.2,44973121.75,2.019181962,11.61328467,15.96563624,,,,,,,,,,,,2816870.0,2818300.0,1,5.75148,7.9069824,1.374773519,
24,25,Bhutan,64,BTN,1944,Bhutan,,11.71031,,,,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,,1,9.78096,13.4466048,1.374773519,
25,26,Thailand,764,THA,2008,Thailand,11395647.35,77.78562545,8123800653.0,6497440688.0,8932509400.0,204.5749253,38316711.63,7.077590651,7.96,9800710613.0,7838638419.0,10776352525.0,17924511267.0,14336079108.0,19708861926.0,265.9960435,212.7444518,292.4754386,44.46,-751.82885,-37441076.73,-21345739225.0,-316.7663595,0.0,-301.94325,-56.40488911,-2161249871.0,-32.07250151,-348.838861,67386383.0,65493298.0,1,0.799803068,1.099548079,1.374773519,
26,27,Guinea,324,GIN,1978,Guinea,0.0,36.53513,0.0,0.0,0.0,0.0,20099450.44,3.712627637,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,4268975.0,4268975.0,1,2.641104295,3.630920245,1.374773519,
27,28,Swaziland,748,SWZ,1940,Swaziland,,12.37774,,,,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,,0,12.270972,16.86980736,1.374773519,
28,29,Panama,591,PAN,1984,Panama,0.0,45.81844,0.0,0.0,0.0,0.0,29369761.6,5.424973629,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2123000.0,2123000.0,1,1.657362849,2.278498556,1.374773519,
29,30,Netherlands,528,NLD,1960,Netherlands,1827596.0,10.91287,25452929.49,147838403.1,203244321.7,2.334537489,15656296.57,2.891919831,0.14,6292748.915,36550211.28,50248262.59,31745678.41,184388614.4,253492584.3,2.760715112,16.03507815,22.04460082,,,,,,,,,,,,11499078.0,11486000.0,1,5.808306,7.98510528,1.374773519,
30,31,Togo,768,TGO,1958,Togo,,12.24772,,,,,13786882.65,2.546614979,0.12,,,,,,,,,,,,,,,,,,,,,1388973.0,1388973.0,0,5.952954,8.18396352,1.374773519,
31,32,Equatorial Guinea,226,GNQ,2005,Equatorial Guinea,18100000.0,47.25731,7215175272.0,6361767444.0,8745989417.0,25.0688396,48773200.88,9.00903903,7.33,1386706611.0,1222687550.0,1680918466.0,8601881883.0,7584454994.0,10426907883.0,17071.56159,15052.34463,20693.5648,375.44,375.44,18696912.0,6475933830.0,12852.33915,0.0,0.0,0.0,0.0,0.0,12852.33915,503872.0,567232.0,1,0.88172043,1.212165899,1.374773519,
32,33,Hungary,348,HUN,1938,Hungary,39344.0,13.66059,325882.4176,3980375.427,5472114.734,,0.0,,0.05,,,,325882.4176,3980375.427,5472114.734,0.035549517,0.434206985,0.596936264,,,,,,,,,,,,9167000.0,9167000.0,1,12.214146,16.79168448,1.374773519,
33,34,Belgium,56,BEL,1965,Belgium,0.0,9.708031,0.0,0.0,0.0,0.0,16590994.96,3.064570675,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,9448100.0,9448100.0,1,5.451852,7.49506176,1.374773519,
34,35,Ecuador,218,ECU,1946,Ecuador,317350.0,9.768706,2605316.56,22947706.42,31547899.11,,0.0,,0.05,,,,2605316.56,22947706.42,31547899.11,0.913184914,8.043360119,11.0577985,,,,,,,,,,,,2853000.0,2853000.0,1,8.80803,12.1090464,1.374773519,
35,36,Thailand,764,THA,1935,Thailand,,12.03969,,,,,0.0,,0.06,,,,,,,,,,,,,,,,,,,,,14045000.0,14045000.0,1,12.537882,17.23674816,1.374773519,
36,37,Argentina,32,ARG,2002,Argentina,39800000.0,23.71533,7299679735.0,6987242081.0,9605875385.0,301.947576,19291137.04,3.56332173,2.95,6085375615.0,5824912067.0,8007934861.0,13385055350.0,12812154148.0,17613810246.0,357.0898244,341.8058241,469.9055957,266.83419,250.05419,12452698.66,2164492936.0,57.74487907,206.2396,206.2396,38.52684823,743226709.0,19.82798637,77.57286544,37483721.0,37999000.0,1,0.957198444,1.315931073,1.374773519,
37,38,North Vietnam,998,VDR,1943,,0.0,11.81433,0.0,0.0,0.0,,0.0,,0.05,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0,9.951438,13.68097344,1.374773519,
38,39,Togo,768,TGO,1991,Togo,0.0,24.95484,0.0,0.0,0.0,0.0,19477222.39,3.597694093,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3625489.0,3625489.0,1,1.264317181,1.73814978,1.374773519,
39,40,Guinea,324,GIN,1957,Guinea,,11.47628,,,,,12852184.26,2.373964135,0.11,,,,,,,,,,,,,,,,,,,,,2876325.0,2876325.0,0,6.111378,8.40176064,1.374773519,
40,41,Pakistan including East Pakistan,997,,2002,,,23.71533,,,,,19291137.04,3.56332173,2.95,,,,,,,,,,,,,,,,,,,,,,,0,0.957198444,1.315931073,1.374773519,
41,42,Ethiopia including Eritrea,230,,1935,Ethiopia,,12.03969,,,,,0.0,,0.06,,,,,,,,,,,,,,,,,,,,,,,1,12.537882,17.23674816,1.374773519,
42,43,Solomon Islands,90,SLB,2006,Solomon Islands,0.0,55.369,0.0,0.0,0.0,0.0,31279493.27,5.77772569,6.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,552541.0,552541.0,1,0.854166667,1.174285714,1.374773519,
43,44,Dominican Republic,214,DOM,1997,Dominican Republic,0.0,20.3782,0.0,0.0,0.0,0.0,12932015.08,2.388709916,2.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.375,-2160075.0,-322625115.1,-40.27276434,0.0,0.0,0.0,0.0,0.0,-40.27276434,8011000.0,8011000.0,1,1.072897196,1.474990654,1.374773519,
44,45,Croatia,191,HRV,1959,Croatia,,12.14371,,,,,14721586.76,2.719266878,0.13,,,,,,,,,,,,,,,,,,,,,4020631.0,4020631.0,0,5.901294,8.11294272,1.374773519,
45,46,Malawi,454,MWI,2000,Malawi,0.0,28.50001,0.0,0.0,0.0,0.0,20051474.29,3.703765823,3.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11559538.0,11559538.0,1,1.0,1.374773519,1.374773519,
46,47,Sudan,729,SDN,1987,Sudan,0.0,27.45986,0.0,0.0,0.0,0.0,16601063.04,3.06643038,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,24401431.0,24401431.0,0,1.51584507,2.083943662,1.374773519,
47,48,"Korea, Rep.",410,KOR,1953,"Korea, South",,12.27372,,,,,0.0,,0.09,,,,,,,,,,,,,,,,,,,,,21060464.0,21060464.0,1,6.43167,8.8420896,1.374773519,
48,49,Nepal,524,NPL,1974,Nepal,0.0,39.93295,0.0,0.0,0.0,0.0,13216605.45,2.441277426,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,12889036.0,12889036.0,1,3.493938,4.80337344,1.374773519,
49,50,Suriname,740,SUR,1996,Suriname,249316.9,22.48449,37771515.33,41454779.73,56990933.42,0.0,12412518.01,2.29275211,2.17,0.0,0.0,0.0,37771515.33,41454779.73,56990933.42,90.36507108,99.17696137,136.3458602,7.5,7.5,373500.0,61551291.38,147.2561207,0.0,0.0,0.0,0.0,0.0,147.2561207,417988.0,407606.0,1,1.09751434,1.508833652,1.374773519,
50,51,Mauritius,480,MUS,1957,Mauritius,,11.47628,,,,,12852184.26,2.373964135,0.11,,,,,,,,,,,,,,,,,,,,,609816.0,609816.0,0,6.111378,8.40176064,1.374773519,
51,52,Azerbaijan,31,AZE,1938,Azerbaijan,,13.66059,,,,,0.0,,0.05,,,,,,,,,,,,,,,,,,,,,,,0,12.214146,16.79168448,1.374773519,
52,53,Burundi,108,BDI,1978,Burundi,0.0,36.53513,0.0,0.0,0.0,0.0,20099450.44,3.712627637,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,3929974.0,3929974.0,1,2.641104295,3.630920245,1.374773519,
53,54,Ireland,372,IRL,2007,Ireland,0.0,60.11999161,0.0,0.0,0.0,3.01485875,31248808.19,5.77205776,6.25,113436956.0,94210742.78,129518434.4,113436956.0,94210742.78,129518434.4,26.03597717,21.62318907,29.72698773,0.0,-69.32014,-3452142.972,-1521147076.0,-349.1326982,0.0,-160.75388,-30.02983102,-938396429.5,-215.3801448,-564.5128429,4356931.0,4109086.0,1,0.830511908,1.141765778,1.374773519,
54,55,Maldives,462,MDV,1996,Maldives,0.0,22.48449,0.0,0.0,0.0,0.0,12412518.01,2.29275211,2.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270531.0,270531.0,1,1.09751434,1.508833652,1.374773519,
55,56,Ethiopia including Eritrea,230,,1963,Ethiopia,0.0,9.994071,0.0,0.0,0.0,0.0,17058352.72,3.150897679,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,29045769.0,29045769.0,1,5.62233,7.7294304,1.374773519,
56,57,Barbados,52,BRB,1989,Barbados,53000.0,24.86816,7080662.756,9832984.892,13518127.24,0.193319036,14010059.43,2.587838608,1.69,1950307.705,2708411.184,3723451.975,9030970.461,12541396.08,17241579.22,35.17048046,48.84158657,67.14611986,0.0,-1.88509,-93877.482,-17110732.7,-66.63654729,,,,,,,256777.0,261092.0,1,1.388709677,1.90916129,1.374773519,
57,58,Guinea,324,GIN,1935,Guinea,,12.03969,,,,,0.0,,0.06,,,,,,,,,,,,,,,,,,,,,,,0,12.537882,17.23674816,1.374773519,
58,59,Italy,380,ITA,1978,Italy,1422000.0,36.53513,146134105.2,385955412.8,530601281.1,94.13533874,20099450.44,3.712627637,0.91,716392980.0,1892068576.0,2601165775.0,862527085.2,2278023989.0,3131767056.0,15.38032468,40.62104155,55.84473225,,,,,,,,,,,,56079901.0,56240143.0,1,2.641104295,3.630920245,1.374773519,
59,60,Bulgaria,100,BGR,1990,Bulgaria,60000.0,30.875,10434615.77,13747825.82,18900146.89,0.079323844,17577255.87,3.246745781,1.71,1058271.9,1394295.495,1916840.524,11492887.67,15142121.32,20816987.41,1.316419851,1.734410853,2.384422111,0.0,-165.004,-8217199.2,-1859491953.0,-212.9901719,0.0,-241.0,-45.02030854,-791333482.4,-90.64102386,-303.6311957,8730412.0,8894028.0,1,1.317521041,1.811293038,1.374773519,
60,61,Philippines,608,PHL,1995,Philippines,99000.0,19.09535,12348493.96,13952825.85,19181975.5,0.0,12891668.51,2.381257384,1.55,0.0,0.0,0.0,12348493.96,13952825.85,19181975.5,0.180058719,0.203452175,0.279700663,3.77218,-314.9194,-15682986.12,-2194926100.0,-32.00516469,0.0,0.0,0.0,0.0,0.0,-32.00516469,68580372.0,72597432.0,1,1.12992126,1.553385827,1.374773519,
61,62,Estonia,233,EST,1961,Estonia,,10.23677,,,,,16357321.79,3.021408228,0.15,,,,,,,,,,,,,,,,,,,,,1224467.0,1224467.0,0,5.75148,7.9069824,1.374773519,
62,63,Pakistan including East Pakistan,997,,1989,,,24.86816,,,,,14010059.43,2.587838608,1.69,,,,,,,,,,,,,,,,,,,,,,,0,1.388709677,1.90916129,1.374773519,
63,64,Slovak Republic,703,SVK,2005,Slovakia,34860.0,47.25731,13931435.97,12283631.71,16887211.6,0.976365332,48773200.88,9.00903903,7.33,54008573.28,47620462.46,65467350.77,67940009.25,59904094.18,82354562.37,12.62549708,11.13215872,15.30419701,0.61298,-109.68831,-5462477.838,-1892004681.0,-351.5969433,13.03124,-248.26445,-46.37735327,-2261971967.0,-420.3490812,-771.9460245,5381175.0,5431363.0,1,0.88172043,1.212165899,1.374773519,
64,65,Yemen Arab Rep. (North Yemen),886,,1948,,,14.06798,,,,,0.0,,0.07,,,,,,,,,,,,,,,,,,,,,,,0,7.148022,9.82691136,1.374773519,
65,66,Federal Republic of Germany (West Germany),280,,1935,,,12.03969,,,,,0.0,,0.06,,,,,,,,,,,,,,,,,,,,,,,0,12.537882,17.23674816,1.374773519,
66,67,Bolivia,68,BOL,1981,Bolivia,1029000.0,67.14143,271004540.1,513388138.7,705792418.1,32.42296441,34697136.4,6.409008439,1.98,593850448.7,1124984018.0,1546598238.0,864854988.8,1638372157.0,2252390656.0,158.1356012,299.5704129,411.8414707,,,,,,,,,,,,5469072.0,5545224.0,1,1.894389439,2.604356436,1.374773519,
67,68,Ghana,288,GHA,1990,Ghana,0.0,30.875,0.0,0.0,0.0,0.0,17577255.87,3.246745781,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.5,-771900.0,-174675312.5,-11.33239775,0.0,0.0,0.0,0.0,0.0,-11.33239775,15413800.0,15413800.0,1,1.317521041,1.811293038,1.374773519,
68,69,"Yemen, Dem. Rep. (South Yemen)",720,YMD,1995,,,19.09535,,,,,12891668.51,2.381257384,1.55,,,,,,,,,,,,,,,,,,,,,,,0,1.12992126,1.553385827,1.374773519,
69,70,China,156,CHN,1964,China,8500000.0,9.864053,112149000.0,621848261.2,854900522.4,,15889969.74,2.935082279,0.15,,,,112149000.0,621848261.2,854900522.4,0.160546217,0.890203087,1.22382763,,,,,,,,,,,,698546512.0,698355000.0,1,5.54484,7.6228992,1.374773519,
70,71,Burkina Faso,854,BFA,1990,Burkina Faso,0.0,30.875,0.0,0.0,0.0,0.0,17577255.87,3.246745781,1.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8361039.0,8361039.0,1,1.317521041,1.811293038,1.374773519,
71,72,Ethiopia including Eritrea,230,,1953,Ethiopia,,12.27372,,,,,0.0,,0.09,,,,,,,,,,,,,,,,,,,,,24139560.0,24139560.0,1,6.43167,8.8420896,1.374773519,
72,73,France including Algeria,991,,1934,,76093.0,12.71579,557761.69,7168915.464,9855635.141,,0.0,,0.06,,,,557761.69,7168915.464,9855635.141,0.011405003,0.1465886,0.201526125,,,,,,,,,,,,48905000.0,,1,12.853008,17.66997504,1.374773519,
73,74,Armenia,51,ARM,1960,Armenia,,10.91287,,,,,15656296.57,2.891919831,0.14,,,,,,,,,,,,,,,,,,,,,1868852.0,1868852.0,0,5.808306,7.98510528,1.374773519,
74,75,Gabon,266,GAB,1965,Gabon,1251503.0,9.708031,16512330.58,90022782.51,123760937.5,0.071268884,16590994.96,3.064570675,0.16,216884.4075,1182421.691,1625562.029,16729214.99,91205204.2,125386499.5,33.33316395,181.7274765,249.8341225,,,,,,,,,,,,501879.0,474386.0,1,5.451852,7.49506176,1.374773519,
75,76,Ecuador,218,ECU,1943,Ecuador,316257.0,11.81433,2781796.572,27682876.11,38057685.02,,0.0,,0.05,,,,2781796.572,27682876.11,38057685.02,1.053311841,10.48196748,14.41033132,,,,,,,,,,,,2641000.0,2641000.0,1,9.951438,13.68097344,1.374773519,
76,77,Namibia,516,NAM,1979,Namibia,,74.01507,,,,,23003312.72,4.249008439,1.18,,,,,,,,,,,,,,,,,,,,,1027780.0,1027780.0,0,2.371900826,3.260826446,1.374773519,
77,78,Moldova,498,MDA,1978,Moldova,,36.53513,,,,,20099450.44,3.712627637,0.91,,,,,,,,,,,,,,,,,,,,,3947422.0,3947422.0,0,2.641104295,3.630920245,1.374773519,
78,79,Italy,380,ITA,1961,Italy,1835246.0,10.23677,24214235.72,139267692.5,191461535.7,48.54934421,16357321.79,3.021408228,0.15,138075286.0,794137245.9,1091758856.0,162289521.7,933404938.4,1283220392.0,3.211027021,18.46815769,25.38953414,,,,,,,,,,,,50541313.0,50523200.0,1,5.75148,7.9069824,1.374773519,
79,80,"Iran, Islamic Rep.",364,IRN,1966,Iran,105000000.0,9.413322,1385370000.0,7347669991.0,10101382131.0,9.280364375,16123642.91,2.978244726,0.16,28212679.54,149633281.2,205711872.6,1413582680.0,7497303272.0,10307094004.0,55.77282787,295.8056936,406.6658343,,,,,,,,,,,,25345365.0,25707838.0,1,5.30376,7.2914688,1.374773519,
80,81,Brazil,76,BRA,1933,Brazil,,8.815239,,,,,0.0,,0.06,,,,,,,,,,,,,,,,,,,,,35673000.0,35673000.0,1,13.280064,18.25708032,1.374773519,
81,82,Madagascar,450,MDG,1955,Madagascar,,12.26506,,,,,12384826.5,2.287637131,0.1,,,,,,,,,,,,,,,,,,,,,5002657.0,5002657.0,0,6.426504,8.83498752,1.374773519,
82,83,Azerbaijan,31,AZE,1970,Azerbaijan,,7.879107,,,,,14359329.95,2.652353376,0.17,,,,,,,,,,,,,,,,,,,,,5168973.0,5168973.0,0,4.432428,6.09358464,1.374773519,
83,84,Poland,616,POL,1962,Poland,205191.0,10.12409,2707290.054,15403094.27,21175766.12,5.597846869,17292025.89,3.194060127,0.16,17013501.56,96798112.99,133075482.4,19720791.62,112201207.3,154251248.6,0.650518843,3.70111915,5.088200599,,,,,,,,,,,,30315481.0,30329617.0,1,5.689488,7.82175744,1.374773519,
84,85,Soviet Union,810,SUN,1974,,459000000.0,39.93295,38960562600.0,136126000000.0,187142000000.0,2003.540472,13216605.45,2.441277426,0.3,7578841958.0,26480003914.0,36404008169.0,46539404558.0,162606000000.0,223546000000.0,349.2583277,1220.286943,1677.618175,,,,,,,,,,,,133252097.0,133378674.0,1,3.493938,4.80337344,1.374773519,
85,86,Suriname,740,SUR,1994,Suriname,204918.0,18.26323,23758381.53,27605892.71,37951850.27,0.0,13479751.89,2.489883966,1.85,0.0,0.0,0.0,23758381.53,27605892.71,37951850.27,57.80332764,67.16419042,92.33555042,5.97811,5.97811,297709.878,39850553.23,96.95502963,0.0,0.0,0.0,0.0,0.0,96.95502963,411021.0,398770.0,1,1.16194332,1.597408907,1.374773519,
86,87,South Vietnam,714,VSO,1985,,,43.43477,,,,,27598504.35,5.097799578,2.51,,,,,,,,,,,,,,,,,,,,,58867987.0,60093068.0,0,1.600371747,2.200148699,1.374773519,
87,88,Japan,392,JPN,1984,Japan,506000.0,45.81844,106744444.4,176914276.5,243217062.5,16.64627493,29369761.6,5.424973629,2.66,294984967.5,488897126.1,672122822.6,401729411.9,665811402.6,915339885.1,3.346767508,5.546808132,7.625604936,0.0,-3585.30692,-178548284.6,-59959707048.0,-499.5183161,,,,,,,120035052.0,120034697.0,1,1.657362849,2.278498556,1.374773519,
88,89,Bangladesh,50,BGD,1988,Bangladesh,27000.0,21.41834,2953577.511,4299290.341,5910550.512,26.26617337,14635548.34,2.703374473,1.69,264093311.6,384419850.0,528490230.0,267046889.1,388719140.3,534400780.5,2.68324732,3.905791956,5.369579353,0.0,-20.39285,-1015563.93,-159425063.1,-1.601879261,,,,,,,99523770.0,106283666.0,1,1.455621302,2.00114962,1.374773519,
